DATETIME,ISIN,PRICE
'2018-10-08','AU0000083768',98.12
'2018-10-15','AU0000083768',98.09
'2018-10-22','AU0000083768',98.06
'2018-10-29','AU0000083768',98.2
'2018-11-05','AU0000083768',98.18
'2018-11-12','AU0000083768',98.09
'2018-11-19','AU0000083768',98.15
'2018-11-26','AU0000083768',98.19
'2018-12-03','AU0000083768',98.07
'2018-12-10','AU0000083768',98.09
'2018-12-17','AU0000083768',98.16
'2018-12-24','AU0000083768',98.18
'2018-12-31','AU0000083768',98.17
'2019-01-07','AU0000083768',98.22
'2019-01-14','AU0000083768',98.05
'2019-01-21','AU0000083768',98.17
'2019-01-28','AU0000083768',98.17
'2019-02-04','AU0000083768',98.21
'2019-02-11','AU0000083768',98.08
'2019-02-18','AU0000083768',98.14
'2019-02-25','AU0000083768',98.2
'2019-03-04','AU0000083768',98.13
'2019-03-11','AU0000083768',98.24
'2019-03-18','AU0000083768',98.1
'2019-03-25','AU0000083768',98.17
'2019-04-01','AU0000083768',98.12
'2019-04-08','AU0000083768',98.2
'2019-04-15','AU0000083768',98.2
'2019-04-23','AU0000083768',98.29
'2019-04-29','AU0000083768',98.11
'2019-05-06','AU0000083768',98.1
'2019-05-13','AU0000083768',98.13
'2019-05-20','AU0000083768',98.13
'2019-05-27','AU0000083768',98.3
'2019-06-03','AU0000083768',98.14
'2019-06-10','AU0000083768',98.15
'2019-06-17','AU0000083768',98.18
'2019-06-24','AU0000083768',98.14
'2019-07-01','AU0000083768',98.28
'2019-07-08','AU0000083768',98.17
'2019-07-15','AU0000083768',98.21
'2019-07-22','AU0000083768',98.23
'2019-07-29','AU0000083768',98.06
'2019-08-05','AU0000083768',98.13
'2019-08-12','AU0000083768',98.12
'2019-08-19','AU0000083768',98.18
'2019-08-26','AU0000083768',98.22
'2019-09-02','AU0000083768',98.22
'2019-09-09','AU0000083768',98.19
'2019-09-16','AU0000083768',98.13
'2019-09-23','AU0000083768',98.17
'2019-09-30','AU0000083768',98.1
'2019-10-07','AU0000083768',98.01
'2019-10-14','AU0000083768',98.04
'2019-10-21','AU0000083768',98.34
'2019-10-28','AU0000083768',98.15
'2019-11-04','AU0000083768',98.24
'2019-11-11','AU0000083768',98.03
'2019-11-18','AU0000083768',98.07
'2019-11-25','AU0000083768',98.16
'2019-12-02','AU0000083768',98.05
'2019-12-09','AU0000083768',98.1
'2019-12-16','AU0000083768',98.22
'2019-12-23','AU0000083768',98.15
'2019-12-30','AU0000083768',98.21
'2020-01-06','AU0000083768',98.1
'2020-01-13','AU0000083768',98.1
'2020-01-20','AU0000083768',98.03
'2020-01-27','AU0000083768',98.14
'2020-02-03','AU0000083768',98.2
'2020-02-10','AU0000083768',98.15
'2020-02-17','AU0000083768',98.17
'2020-02-24','AU0000083768',98.16
'2020-03-02','AU0000083768',98.22
'2020-03-09','AU0000083768',98.05
'2020-03-16','AU0000083768',98.13
'2020-03-23','AU0000083768',98.21
'2020-03-30','AU0000083768',98.24
'2020-04-06','AU0000083768',98.3
'2020-04-13','AU0000083768',97.94
'2020-04-20','AU0000083768',98.42
'2020-04-27','AU0000083768',98.17
'2020-05-04','AU0000083768',98.17
'2020-05-11','AU0000083768',98.14
'2020-05-18','AU0000083768',98.15
'2020-05-25','AU0000083768',98.12
'2020-06-01','AU0000083768',98.13
'2020-06-08','AU0000083768',98.14
'2020-06-15','AU0000083768',98.1
'2020-06-22','AU0000083768',98.13
'2020-06-29','AU0000083768',98.13
'2020-07-06','AU0000083768',98.1
'2020-07-13','AU0000083768',98.16
'2020-07-20','AU0000083768',98.14
'2020-07-27','AU0000083768',98.15
'2020-08-03','AU0000083768',98.12
'2020-08-10','AU0000083768',98.15
'2020-08-17','AU0000083768',98.11
'2020-08-24','AU0000083768',98.14
'2020-08-31','AU0000083768',98.14
'2020-09-07','AU0000083768',98.14
'2020-09-14','AU0000083768',98.12
'2020-09-21','AU0000083768',98.14
'2020-09-28','AU0000083768',98.14
'2020-10-05','AU0000083768',98.15
'2020-10-12','AU0000083768',98.2
'2020-10-19','AU0000083768',98.12
'2020-10-26','AU0000083768',98.17
'2020-11-02','AU0000083768',98.12
'2020-11-09','AU0000083768',98.17
'2020-11-16','AU0000083768',98.14
'2020-11-23','AU0000083768',98.15
'2020-11-30','AU0000083768',98.15
'2020-12-07','AU0000083768',98.15
'2020-12-14','AU0000083768',98.13
'2020-12-21','AU0000083768',98.14
'2020-12-29','AU0000083768',98.14
'2021-01-04','AU0000083768',98.13
'2021-01-11','AU0000083768',98.15
'2021-01-18','AU0000083768',98.11
'2021-01-25','AU0000083768',98.16
'2021-02-01','AU0000083768',98.15
'2021-02-08','AU0000083768',98.13
'2021-02-15','AU0000083768',98.1
'2021-02-22','AU0000083768',98.13
'2021-03-01','AU0000083768',98.14
'2021-03-08','AU0000083768',98.13
'2021-03-15','AU0000083768',98.14
'2021-03-22','AU0000083768',98.11
'2021-03-29','AU0000083768',98.15
'2021-04-05','AU0000083768',98.11
'2021-04-12','AU0000083768',98.17
'2021-04-19','AU0000083768',98.13
'2021-04-26','AU0000083768',98.15
'2021-05-03','AU0000083768',98.13
'2021-05-10','AU0000083768',98.14
'2021-05-17','AU0000083768',98.14
'2021-05-24','AU0000083768',98.14
'2021-05-31','AU0000083768',98.13
'2021-06-07','AU0000083768',98.13
'2021-06-14','AU0000083768',98.14
'2021-06-21','AU0000083768',98.14
'2021-06-28','AU0000083768',98.14
'2021-07-05','AU0000083768',98.15
'2021-07-12','AU0000083768',98.18
'2021-07-19','AU0000083768',98.07
'2021-07-26','AU0000083768',98.14
'2021-08-02','AU0000083768',98.17
'2021-08-09','AU0000083768',98.12
'2021-08-16','AU0000083768',98.15
'2021-08-23','AU0000083768',98.16
'2021-08-30','AU0000083768',98.14
'2021-09-06','AU0000083768',98.14
'2021-09-13','AU0000083768',98.1
'2021-09-20','AU0000083768',98.16
'2021-09-27','AU0000083768',98.13
'2021-10-04','AU0000083768',98.15
'2021-10-11','AU0000083768',98.13
'2021-10-18','AU0000083768',98.13
'2021-10-25','AU0000083768',98.14
'2021-11-01','AU0000083768',98.12
'2021-11-08','AU0000083768',98.09
'2021-11-15','AU0000083768',98.12
'2021-11-22','AU0000083768',98.11
'2021-11-29','AU0000083768',97.71
'2021-12-06','AU0000083768',98.31
'2021-12-13','AU0000083768',98.06
'2021-12-20','AU0000083768',98.19
'2021-12-28','AU0000083768',98.18
'2022-01-03','AU0000083768',98.13
'2022-01-10','AU0000083768',98.14
'2022-01-17','AU0000083768',98.1
'2022-01-24','AU0000083768',98.19
'2022-01-31','AU0000083768',98.11
'2022-02-07','AU0000083768',98.05
'2022-02-14','AU0000083768',97.83
'2022-02-21','AU0000083768',98.04
'2022-02-28','AU0000083768',98.1
'2022-03-07','AU0000083768',98.01
'2022-03-14','AU0000083768',98.02
'2022-03-21','AU0000083768',98.08
'2022-03-28','AU0000083768',98.11
'2022-04-04','AU0000083768',98.23
'2022-04-11','AU0000083768',97.95
'2022-04-19','AU0000083768',98.05
'2022-04-26','AU0000083768',97.83
'2022-05-02','AU0000083768',98.0
'2022-05-09','AU0000083768',97.86
'2022-05-16','AU0000083768',98.22
'2022-05-23','AU0000083768',97.8
'2022-05-30','AU0000083768',98.04
'2022-06-06','AU0000083768',97.87
'2022-06-14','AU0000083768',98.19
'2022-06-20','AU0000083768',98.16
'2022-06-27','AU0000083768',98.2
'2022-07-04','AU0000083768',97.94
'2022-07-11','AU0000083768',98.04
'2022-07-18','AU0000083768',97.62
'2022-07-25','AU0000083768',98.56
'2022-08-01','AU0000083768',98.38
'2022-08-08','AU0000083768',98.08
'2022-08-15','AU0000083768',98.16
'2022-08-22','AU0000083768',97.99
