SYMBOL,COUNTRY,SECURITYNAME,SECTOR,INDUSTRY,CURRENCY
'MMM','US','3M','Industrials','Industrial Conglomerates','USD'
'AOS','US','A. O. Smith','Industrials','Building Products','USD'
'ABT','US','Abbott','Health Care','Health Care Equipment','USD'
'ABBV','US','AbbVie','Health Care','Pharmaceuticals','USD'
'ACN','US','Accenture','Information Technology','IT Consulting & Other Services','USD'
'ATVI','US','Activision Blizzard','Communication Services','Interactive Home Entertainment','USD'
'ADM','US','ADM','Consumer Staples','Agricultural Products & Services','USD'
'ADBE','US','Adobe Inc.','Information Technology','Application Software','USD'
'ADP','US','ADP','Industrials','Human Resource & Employment Services','USD'
'AAP','US','Advance Auto Parts','Consumer Discretionary','Automotive Retail','USD'
'AES','US','AES Corporation','Utilities','Independent Power Producers & Energy Traders','USD'
'AFL','US','Aflac','Financials','Life & Health Insurance','USD'
'A','US','Agilent Technologies','Health Care','Health Care Equipment','USD'
'APD','US','Air Products and Chemicals','Materials','Industrial Gases','USD'
'AKAM','US','Akamai','Information Technology','Internet Services & Infrastructure','USD'
'ALK','US','Alaska Air Group','Industrials','Passenger Airlines','USD'
'ALB','US','Albemarle Corporation','Materials','Specialty Chemicals','USD'
'ARE','US','Alexandria Real Estate Equities','Real Estate','Office REITs','USD'
'ALGN','US','Align Technology','Health Care','Health Care Supplies','USD'
'ALLE','US','Allegion','Industrials','Building Products','USD'
'LNT','US','Alliant Energy','Utilities','Electric Utilities','USD'
'ALL','US','Allstate','Financials','Property & Casualty Insurance','USD'
'GOOGL','US','Alphabet Inc. (Class A)','Communication Services','Interactive Media & Services','USD'
'GOOG','US','Alphabet Inc. (Class C)','Communication Services','Interactive Media & Services','USD'
'MO','US','Altria','Consumer Staples','Tobacco','USD'
'AMZN','US','Amazon','Consumer Discretionary','Broadline Retail','USD'
'AMCR','US','Amcor','Materials','Paper & Plastic Packaging Products & Materials','USD'
'AMD','US','AMD','Information Technology','Semiconductors','USD'
'AEE','US','Ameren','Utilities','Multi-Utilities','USD'
'AAL','US','American Airlines Group','Industrials','Passenger Airlines','USD'
'AEP','US','American Electric Power','Utilities','Electric Utilities','USD'
'AXP','US','American Express','Financials','Consumer Finance','USD'
'AIG','US','American International Group','Financials','Property & Casualty Insurance','USD'
'AMT','US','American Tower','Real Estate','Telecom Tower REITs','USD'
'AWK','US','American Water Works','Utilities','Water Utilities','USD'
'AMP','US','Ameriprise Financial','Financials','Asset Management & Custody Banks','USD'
'ABC','US','AmerisourceBergen','Health Care','Health Care Distributors','USD'
'AME','US','Ametek','Industrials','Electrical Components & Equipment','USD'
'AMGN','US','Amgen','Health Care','Biotechnology','USD'
'APH','US','Amphenol','Information Technology','Electronic Components','USD'
'ADI','US','Analog Devices','Information Technology','Semiconductors','USD'
'ANSS','US','Ansys','Information Technology','Application Software','USD'
'AON','US','Aon','Financials','Insurance Brokers','USD'
'APTV','US','Aptiv','Consumer Discretionary','Automotive Parts & Equipment','USD'
'ACGL','US','Arch Capital Group','Financials','Reinsurance','USD'
'ANET','US','Arista Networks','Information Technology','Communications Equipment','USD'
'AJG','US','Arthur J. Gallagher & Co.','Financials','Insurance Brokers','USD'
'AIZ','US','Assurant','Financials','Multi-line Insurance','USD'
'T','US','AT&T','Communication Services','Integrated Telecommunication Services','USD'
'ATO','US','Atmos Energy','Utilities','Gas Utilities','USD'
'ADSK','US','Autodesk','Information Technology','Application Software','USD'
'AZO','US','AutoZone','Consumer Discretionary','Specialty Stores','USD'
'AVB','US','AvalonBay Communities','Real Estate','Residential REITs','USD'
'BDX','US','Becton Dickinson','Health Care','Health Care Equipment','USD'
'WRB','US','Berkley','Financials','Property & Casualty Insurance','USD'
'BBY','US','Best Buy','Consumer Discretionary','Computer & Electronics Retail','USD'
